Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2022-05-15 10:52 (-04),On Demand,Ally Love,15,Cycling,Low Impact,15 min Low Impact Ride,2022-04-26 06:37 (-04),120,133,41%,84,18.07,4.52,188,128.32,,
2022-05-15 11:10 (-04),On Demand,Emma Lovewell,15,Cycling,Low Impact,15 min Low Impact Ride,2022-04-13 11:00 (-04),130,144,47%,76,18.73,4.69,199,133.71,,
2022-05-15 11:27 (-04),On Demand,Robin Arzon,10,Cycling,Low Impact,10 min Low Impact Ride,2022-04-11 11:00 (-04),86,143,45%,80,18.78,3.13,143,139.60,,
2022-05-15 11:37 (-04),On Demand,Emma Lovewell,5,Cycling,Cool Down,5 min Cool Down Ride,2022-05-11 11:00 (-04),37,122,44%,74,17.40,1.45,69,138.08,,
2022-05-16 09:40 (-04),,,5,Cycling,,5 min Lanebreak Ride,,33,108,36%,90,16.30,1.37,42,,,
2022-05-16 09:47 (-04),,,15,Cycling,,15 min Lanebreak Ride,,151,168,44%,89,19.68,4.91,195,,,
2022-05-16 10:03 (-04),,,15,Cycling,,15 min Lanebreak Ride,,163,181,48%,83,20.22,5.06,210,,,
2022-05-16 10:18 (-04),,,5,Cycling,,5 min Lanebreak Ride,,56,181,49%,80,20.45,1.76,72,,,
2022-05-21 09:53 (-04),On Demand,Ben Alldis,10,Cycling,Low Impact,10 min Low Impact Ride,2022-05-16 09:32 (-04),73,122,36%,96,17.21,2.87,99,112.41,,
2022-05-21 10:04 (-04),Live,Matt Wilpers,30,Cycling,Power Zone,30 min Power Zone Endurance Hip Hop Ride,2022-05-18 05:52 (-04),308,171,46%,84,20.02,10.02,402,133.92,,
2022-05-21 10:37 (-04),,,20,Cycling,,20 min Lanebreak Ride,,180,149,44%,82,18.74,6.29,232,,,
2022-05-21 10:59 (-04),,,15,Cycling,,15 min Lanebreak Ride,,127,141,41%,87,18.23,4.57,164,,,
2022-05-21 11:16 (-04),,,5,Cycling,,5 min Lanebreak Ride,,27,90,37%,79,15.30,1.28,35,,,
2022-05-22 10:18 (-04),On Demand,Leanne Hainsby,10,Cycling,Warm Up,10 min Warm Up Ride,2022-05-16 02:00 (-04),101,168,41%,95,19.63,3.28,119,125.86,,
2022-05-22 10:29 (-04),On Demand,Ally & Emma ,30,Cycling,Music,30 min Harry Styles Two for One Ride,2022-05-20 07:26 (-04),289,161,44%,87,19.48,9.74,414,136.18,,
